household_idx,fid,cluster_id,persona_id,persona_name,persona_avg_fit_score,cluster_id_current,persona_id_current,persona_name_current,mapping_source,is_validated,iteration,ER82017,ER82027,ER82150,ER82181,ER82182,ER82433,ER82800,ER82840,ER82856,ER82926,ER83010,ER83977,ER83978,ER84520,ER85079,ER85311,ER85533,ER85629,ER85666,ER85690,ER85692,ER85701,ER85747,ER85768,ER85780,ER82500,ER82501
0,283,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,3,3,1,3050,8190,1,5,5,5,5,5,5,1,3,1,1,190000,190000,18000,-31000,276500,50981.0,9460.0,94753.5,17,800,9380
1,988,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,4,2,1,2310,7860,1,2,5,5,1,5,1,5,3,1,1,157800,157800,0,-135000,-20000,60400.0,8800.0,104910.0,17,2010,7860
2,1277,13,13,Stressed Middle-Class Parent,0.6708333333333334,13,13,Stressed Middle-Class Parent,current_validated,True,10,5,4,1,7000,770,1,1,5,5,1,5,1,1,3,2,1,122050,240050,6500,-57600,692400,58760.0,54400.0,184561.14,12,4700,5170
3,325,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,15,15,Stable Middle-Class Family Providers,initial,False,10,4,3,5,4430,8570,1,3,1,5,1,5,5,5,4,1,5,28588,426697,5000,39000,279000,71500.0,15500.0,114100.0,12,4020,7870
4,736,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,5,2,1,9130,7790,1,3,5,5,1,5,1,5,2,2,1,171258,214258,15000,-91600,61400,46740.0,10970.0,120520.0,12,5200,6970
5,83,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,2310,7860,1,2,5,5,1,5,1,5,3,1,1,140000,140000,0,30000,185000,28900.0,9150.0,80187.5,16,4850,4560
6,93,11,11,Stable Middle-Class Family Anchor,0.7416666666666667,11,11,Stable Middle-Class Family Anchor,current_validated,True,10,4,2,1,60,9170,1,3,5,5,1,5,5,5,1,1,1,144500,169500,0,122000,255858,56398.0,7916.0,125634.0,16,2000,8090
7,664,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,800,7380,1,1,5,5,1,5,1,5,2,1,1,220000,220000,0,178550,313550,49936.0,8300.0,105009.08,17,1360,770
8,441,2,2,Stable Middle-Class Caregivers,0.7118905472636812,2,2,Stable Middle-Class Caregivers,current_validated,True,10,2,3,1,2100,7270,1,3,5,5,1,5,1,5,2,1,1,148808,148808,0,-60000,-25000,14600.0,5700.0,76946.56,17,2630,7370
9,131,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,110,3960,1,3,5,5,1,1,1,5,2,1,1,310200,310200,13000,247000,557000,36080.0,4400.0,89101.09,16,2320,7860
